J151053-054307,radec gaincal,15:10:53.55,-05:43:07.1
J151155-304503,radec gaincal,15:11:55.74,-30:45:03.3
J151250-090600,radec gaincal,15:12:50.54,-09:06:00.9
J151741-242220,radec gaincal,15:17:41.85,-24:22:20.0
J152237-273010,radec gaincal,15:22:37.71,-27:30:10.5
J153353-333711,radec gaincal,15:33:53.41,-33:37:11.5
J154402-335228,radec gaincal,15:44:02.88,-33:52:28.8
J154403-133056,radec gaincal,15:44:03.08,-13:30:56.4
J155035+052710,radec gaincal,15:50:35.26,+05:27:10.6
J160502-173415,radec gaincal,16:05:02.12,-17:34:15.9
J160913+264129 | CTD93,radec bpcal,16:09:13.32,+26:41:29.0
J170541-321924,radec gaincal,17:05:41.5,-32:19:24.8
J171257-280935,radec gaincal,17:12:57.3,-28:09:35.8
J172649-552938,radec gaincal,17:26:49.7,-55:29:38.0
J173302-130449 | NRAO530,radec gaincal,17:33:02.66,-13:04:49.1
J174425-514443,radec bpcal,17:44:25.47,-51:44:43.1
J174527-075304,radec gaincal,17:45:27.1,-07:53:04.0
